"n","p","q","success","bInit","b","i","time (µs)"
"190474450079","936181","203459","true","3","69918677986","743","33901"
"200489428637","344231","582427","true","3","122938108734","131","3285"
"117550113679","528289","222511","true","3","44703286892","5503","92053"
"237180889273","706297","335809","true","3","26396938064","53","710"
"83495413363","121687","686149","true","3","65996457703","1193","6153"
"81917291873","276487","296279","true","3","45246821064","227","1204"
"257127589883","855293","300631","true","3","25078938652","911","11015"
"51026383657","405799","125743","true","3","5980085595","1103","5311"
"541263595933","783043","691231","true","3","245770574239","10039","151338"
"75601139287","351733","214939","true","3","41401765120","11941","68871"
"221781336503","823679","269257","true","3","204455725582","863","5413"
"483494127379","805339","600361","true","3","455935756397","5003","31837"
"140873526691","391021","360271","true","3","131346691048","21","953"
"243342743701","495071","491531","true","3","163625263060","199","1980"
"125222481887","450209","278143","true","3","62755736233","307","4578"
"87512645159","133109","657451","true","3","9381522321","311","4447"
"132497192273","896299","147827","true","3","45227818478","10559","88301"
"285827911241","906317","315373","true","3","15067575822","641","2346"
"46161199517","389569","118493","true","3","5771075167","2029","6526"
"255522657011","428579","596209","true","3","128671416013","509","1813"
"145335004553","467491","310883","true","3","103201964213","1087","4374"
"55315022729","287057","192697","true","3","20937107142","37","189"
"499560909391","685093","729187","true","3","259096006764","1543","5380"
"52892276147","124139","426073","true","3","39757723777","433","1334"
"279821435077","984881","284117","true","3","69836526835","139","565"
"316328699567","537611","588397","true","3","273345624896","1453","7833"
"522772238789","556679","939091","true","3","280900899921","1361","4998"
"169993715791","287491","591301","true","3","19029248783","73","263"
"146253412577","514229","284413","true","3","136937640014","31","241"
"710995433041","821999","864959","true","3","357609020953","410999","2057024"
"317464735283","619331","512593","true","3","304740126652","181","1027"
"72785948357","324617","224221","true","3","2903886172","101","326"
"108423058969","374039","289871","true","3","66556410698","101","392"
"474714894281","820643","578467","true","3","128010119365","4591","19777"
"587867423431","611453","961427","true","3","460525610199","2153","8919"
"379796930257","729331","520747","true","3","320397296294","151","696"
"196341977659","373073","526283","true","3","50352126026","971","3172"
"136035168791","788971","172421","true","3","1592143479","34","161"
"629335186651","760231","827821","true","3","55426755056","73","294"
"651329697737","977927","666031","true","3","369974892253","298","1004"
"553189650379","555683","995513","true","3","13141767114","613","3236"
"593690406461","861131","689431","true","3","165478607483","67","334"
"475834385123","669943","710261","true","3","211990063491","409","1408"
"131513369293","173651","757343","true","3","108659682137","151","467"
"97315775867","214967","452701","true","3","42069956632","503","1455"
"804895814309","869587","925607","true","3","367293816099","42073","175986"
"149406437083","360091","414913","true","3","86851248813","2161","7597"
"400581700511","861079","465209","true","3","46058947464","58151","259982"
"35746236143","117017","305479","true","3","25877737049","5657","20193"
"217371077837","889367","244411","true","3","131885121798","7537","34929"
"88815226967","173629","511523","true","3","81247433374","53","374"
"21721722109","177481","122389","true","3","13900311921","29","111"
"303323312477","366917","826681","true","3","180039548267","166","662"
"787947268291","811583","970877","true","3","569674701152","173","678"
"153893554723","353321","435563","true","3","116394537031","73","349"
"258351340589","696119","371131","true","3","115197577877","139","630"
"300454253107","357263","840989","true","3","207236833885","2447","11001"
"61009098901","582209","104789","true","3","1558212431","67","234"
"364942520809","470251","776059","true","3","97362648045","19","86"
"663114135253","704801","940853","true","3","261880088367","881","4884"
"514183683269","657071","782539","true","3","269949078428","65707","261087"
"128283417191","620377","206783","true","3","78652636815","25849","94322"
"104628622513","362221","288853","true","3","89689541811","6037","23900"
"46171532167","179581","257107","true","3","17308375943","73","202"
"219811412833","373091","589163","true","3","172307228168","37309","142675"
"404119462987","441073","916219","true","3","21834414990","47","139"
"408376277537","408469","999773","true","3","130718657850","34039","131950"
"128451466043","294053","436831","true","3","108861067078","163","463"
"611141504807","785431","778097","true","3","84690668438","2909","11010"
"645957094031","722459","894109","true","3","498269135416","32839","131583"
"405618785389","470663","861803","true","3","313143860476","127","424"
"203457963103","260773","780211","true","3","19455491212","701","2061"
"337745083891","355529","949979","true","3","105479018308","1361","6629"
"160266470813","802709","199657","true","3","114477733405","59","248"
"26138816027","178567","146381","true","3","2781239001","563","1923"
"271176887197","331781","817337","true","3","177701323856","271","970"
"47438756843","445631","106453","true","3","7109570059","2957","12801"
"114625312337","244781","468277","true","3","50536750918","12239","58435"
"53667289381","114671","468011","true","3","42410220799","2753","11730"
"419327722309","464141","903449","true","3","242381814966","73","353"
"119861461823","426737","280879","true","3","55386621968","179","689"
"572485779661","583403","981287","true","3","283689626602","291701","1246907"
"167254791943","220681","757903","true","3","923991348","613","1939"
"100240979339","105449","950611","true","3","97263521376","269","790"
"812088647959","905897","896447","true","3","578696878616","107","337"
"593336459231","611549","970219","true","3","413096935164","113","451"
"307344738163","875923","350881","true","3","255898215063","43","177"
"78805831711","135131","583181","true","3","43962516505","2243","8128"
"759435145943","800419","948797","true","3","645556734816","10313","41066"
"570805478933","925621","616673","true","3","80340158441","2753","9931"
"146594656801","185951","788351","true","3","38610865641","3719","13733"
"533878540427","656783","812869","true","3","411459443492","1091","3690"
"254212262989","999541","254329","true","3","98680684767","617","2396"
"726319172539","997783","727933","true","3","167819129687","60661","239742"
"142464429721","812731","175291","true","3","110695214755","5843","20839"
"331516516543","949651","349093","true","3","218174720043","487","1427"
"159501479461","349567","456283","true","3","126684828636","41","173"
"43584169997","372613","116969","true","3","41415447769","14621","54102"
"166366243811","537899","309289","true","3","75446102927","263","784"
"358724747363","421033","852011","true","3","45863124691","331","1052"
"309604652767","464927","665921","true","3","77154938903","2081","6425"
"458322879461","543773","842857","true","3","195079252651","173","544"
"440201462669","773767","568907","true","3","36187535057","89","270"
"479824443977","757319","633583","true","3","170473264220","1367","4387"
"717591508021","928331","772991","true","3","660741445913","193","1124"
"675745973893","707683","954871","true","3","152345750143","1493","5253"
"455334968237","583777","779981","true","3","86029564358","661","4164"
"62429389381","585691","106591","true","3","41309661824","19","173"
"602871384343","972403","619981","true","3","301651079437","3769","13559"
"168989631859","257339","656681","true","3","118209803492","16417","59006"
"175822974281","252887","695263","true","3","56657677134","115877","458408"
"79727192477","587989","135593","true","3","33659063949","997","2867"
"92343515213","847507","108959","true","3","55086619549","347","938"
"188091373853","271127","693739","true","3","20529124489","443","1324"
"178129381753","978749","181997","true","3","40654853855","263","798"
"344622683087","720683","478189","true","3","340578638715","359","1009"
"120921144917","455579","265423","true","3","52353625059","1427","6747"
"73139406503","443057","165079","true","3","68757714607","1019","2890"
"464894501011","908233","511867","true","3","279564107964","71","226"
"82511061397","119851","688447","true","3","35404584656","47","204"
"244005301093","822317","296729","true","3","90419557610","1279","5027"
"321663735203","509317","631559","true","3","88039517987","42443","175699"
"664831070263","679883","977861","true","3","299269469746","3761","16406"
"260018181719","524411","495829","true","3","221712055814","458","1511"
"124003116073","202021","613813","true","3","55151935022","37","152"
"82379603249","795239","103591","true","3","72925370635","1151","3603"
"853749900667","923509","924463","true","3","578872845637","29","185"
"60084941681","168713","356137","true","3","37988777654","71","269"
"97514325691","867959","112349","true","3","42874570724","251","1034"
"216029748491","978799","220709","true","3","85235388002","2399","7446"
"90578903993","443999","204007","true","3","36641085250","281","1100"
"74000034079","211927","349177","true","3","31966432900","26","235"
"301803004049","314423","959863","true","3","115752940913","157211","675289"
"451019368027","651347","692441","true","3","387074520","2473","8711"
"599571687529","736051","814579","true","3","357985028310","701","3397"
"880501671941","917173","960017","true","3","853678947557","349","1117"
"406735409467","580577","700571","true","3","247366716104","317","1006"
"335298881167","369409","907663","true","3","242696910684","37","152"
"95714395549","217747","439567","true","3","20637670651","1201","3786"
"456422960347","648097","704251","true","3","161750104970","157","522"
"510819065881","772691","661091","true","3","97179715910","66109","324636"
"107191916173","168029","637937","true","3","77240746924","353","1600"
"49620800533","126493","392281","true","3","35153037166","127","445"
"231220212689","253633","911633","true","3","55314243909","251","788"
"361822118071","985937","366983","true","3","144465059849","2383","11450"
"106007039141","320057","331213","true","3","80085302655","3637","14643"
"546841659317","645493","847169","true","3","255340125277","61","264"
"246794398723","263369","937067","true","3","164808532760","1567","5271"
"128395328167","924419","138893","true","3","39691452611","2671","9852"
"473971102691","712279","665429","true","3","70403793198","5653","20821"
"186331916003","901247","206749","true","3","26626441369","641","1983"
"357809206999","485167","737497","true","3","57687326635","7351","27667"
"437657479459","482407","907237","true","3","39133338248","53","194"
"730595917229","811037","900817","true","3","60574538349","383","1356"
"129889739809","295601","439409","true","3","18254839756","739","2275"
"219681844559","423989","518131","true","3","93548552051","101","329"
