#### DATA MINER - 1557737812864
#### Pollard 3 
"n","p","q","success","bInit","b","i","time (µs)"
"47582613368750839","292047193","162927823","true","3","1656123521540065","38737","258621"
"117974248262905729","204748619","576190691","true","3","59305311900076377","8713","37796"
"232901513966716613","313494763","742919951","true","3","116973534523018012","521","3843"
"281968586441011933","794209583","355030451","true","3","39084104122817876","9767","49023"
"387072657716208127","421431719","918470633","true","3","375347380035806413","1753","7147"
"86402483712921149","189067159","456993611","true","3","35510024531038218","106031","507777"
"109843185013495069","436020643","251921983","true","3","60104092665494772","781399","3061509"
"313335050940075371","394938757","793376303","true","3","208600386928836467","39041","150679"
"162226971646289941","170950189","948972169","true","3","77084140978335366","13180169","53929277"
"162322653273671489","359446163","451591003","true","3","87818564141726324","701","2432"
"427036118277958681","612543469","697152349","true","3","279383411839147298","188359","741606"
"496382311157436091","638555779","777351529","true","3","357737469983281454","4603","16797"
"659298182190555881","880729231","748582151","true","3","228894367048467239","241","1322"
"109750333153590209","134780741","814287949","true","3","39761269334255756","88241","331521"
"59718007013556587","415372687","143769701","true","3","21626889026314637","4073","14129"
"329252721904370753","453798259","725548667","true","3","223858345807786600","461","1620"
"336127398253925911","634447129","529795759","true","3","283219730464091840","3776471","15447877"
"567739180786173157","887602843","639631999","true","3","165444020951107758","190391","755707"
"298450435569300887","913171387","326828501","true","3","177340898921590988","34403","132712"
"572697244833640349","601263181","952490129","true","3","297018943967910533","1087","3988"
"366178632900104347","715947143","511460429","true","3","121631907291230403","16831","64377"
"551682910795866593","881489689","625852937","true","3","305163910636768882","233941","935758"
"267246595581095287","413749811","645913517","true","3","40986362452520141","41374981","174634111"
"139162508487677293","812619383","171251771","true","3","131647023315202667","378667","1465973"
"279481343278833373","541938389","515706857","true","3","172483483819452322","61333","236400"
"469859881100945213","505850021","928852153","true","3","420976713767545661","36709","143123"
"407825112906223799","603627907","675623357","true","3","104266908962621716","96457","376501"
"291842622762293227","479098187","609149921","true","3","44242399213323108","3257","11666"
"708137267774004281","799299983","885946807","true","3","246809134824412648","181","647"
"587308967628992087","799378339","734707133","true","3","300707447838266913","265813","1061834"
"354045855885887807","479340731","738609997","true","3","228785719553232647","19541","73267"
"77057834404711691","768406267","100282673","true","3","34223352589918724","12611","47331"
"295438778880865811","360619717","819252983","true","3","207315718873175706","9941","37927"
"187581871618678507","404816611","463374937","true","3","176175151562226008","8233","30942"
"21079093840812583","115188427","182996629","true","3","9201969518225492","9397","33892"
"120476222899229881","793773059","151776659","true","3","115813716787546202","2927","10822"
"428302450594302281","912986077","469122653","true","3","246787066177424431","15467","60437"
"79475674263467753","134426381","591220813","true","3","28292680215582082","1097","3702"
"440147283519019369","641050019","686603651","true","3","433426318807835509","13691","53757"
"153458685781852303","381108313","402664231","true","3","12447271138348735","557","1894"
"124100292011826121","472153547","262838843","true","3","61530771063948780","383147","1479198"
"340114750702355779","819625283","414963713","true","3","156259179192502886","3557","12779"
"238289992601998013","569474291","418438543","true","3","128512624869289790","1453","5107"
"72084026441288651","126142853","571447567","true","3","52397353176585441","132833","494783"
"643566803057624861","929789843","692163727","true","3","332057264212765265","1389887","5704377"
"291908497025002057","392019671","744627167","true","3","189954470722246137","29017","109738"
"42435966096830237","322052959","131767043","true","3","40371626781006169","11071","40277"
"793673511010121579","995898133","796942463","true","3","322311274694564135","11717","47704"
"644238559499393953","895906933","719090941","true","3","267129863677765408","90059","358299"
"411331904616062137","668719543","615103759","true","3","286610134424159635","2251","8080"
"707786963964881323","761988709","928868047","true","3","73004176088364326","20101","77570"
"40542570950094461","317384219","127739719","true","3","9446730218029366","1571209","6018332"
"474002624868318773","607532573","780209401","true","3","441199802753712961","379","1330"
"615625279735291571","942223081","653375291","true","3","479597495541087273","1327","4779"
"636311766004307273","845113349","752930677","true","3","327170705056934405","164683","656868"
"219973495148917613","803632171","273724103","true","3","210755102038639833","1913","7229"
"496413176214145427","739256851","671502977","true","3","117204449135515260","2441","8919"
"348163807468496483","368643007","944447069","true","3","167221026983267570","1087","3827"
"320563476813320099","472963247","677776717","true","3","93674196358641700","49157","190653"
"649314279454495069","906499277","716287697","true","3","436344177565351357","41227","162769"
"405437292870033433","586079993","691778081","true","3","164942235431889183","63649","248288"
"140010694929711539","352774481","396884419","true","3","41033947292768029","5519","19800"
"95373425828395711","370957849","257100439","true","3","30677538815316898","1619","5521"
"440085078443419649","851410997","516889117","true","3","282959008629302203","5569","20286"
"104604546608236747","386500649","270645203","true","3","31653151277497890","2797","10082"
"123612756412135493","206313803","599149231","true","3","105968517535979187","27211","102576"
"592855718324206411","797639243","743262977","true","3","464771922187649640","118661","470458"
"51469325646161473","217341119","236813567","true","3","34764192798175013","468011","1771206"
"558534520314879197","922823527","605245211","true","3","187542907979587169","1407547","5753029"
"520967598864361549","592847573","878754713","true","3","391277078960294425","135601","536157"
"907629880360089209","930458233","975465473","true","3","224475632471035989","277","1029"
"73470216144900277","186019711","394959307","true","3","10179747136822270","2129","7942"
"98355665824885793","143471123","685543291","true","3","76513806850172218","11863","44036"
"76525616884024537","174272621","439114397","true","3","49506072401917047","825403","3171302"
