#### DATA MINER
Timestamp: 1558419997135
Algorithm: pol1
Max index for prime numbers picking: 500
Iterations limit: 100000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","1174253","859","1367","true","249424","1096964","93","14","77190"
"","1315129","1531","859","true","767403","1309377","0","21","353"
"","5558263","2633","2111","true","2699013","52848","7","32","1842"
"","1014931","2531","401","true","121032","892987","16","19","40286"
"","3724951","1171","3181","true","1287736","3536703","4","24","37843"
"","2008607","1831","1097","true","320986","1309383","20","52","10050"
"","80261","83","967","true","32011","62955","2","32","148"
"","11995","5","2399","true","11","3581","2","3","456"
"","221167","3301","67","true","79452","76504","5","3","749"
"","9738877","3163","3079","true","3294566","8409137","8","17","5978"
"","232943","73","3191","true","74626","128792","8","6","2104"
"","45173","227","199","true","23965","30548","5","23","1200"
"","4401247","1381","3187","true","1376327","770797","4","71","94784"
"","5100533","1949","2617","true","5013871","4731266","11","81","57717"
"","2064211","937","2203","true","405006","219954","16","23","10803"
"","148849","3167","47","true","75913","13779","3","4","1249"
"","1406183","859","1637","true","69926","174694","18","7","4427"
"","227503","2741","83","true","66968","222178","13","5","12415"
"","437707","2621","167","true","298938","399138","5","8","1851"
"","5486779","2161","2539","true","249470","4118906","2","14","12776"
"","1927","41","47","true","487","205","4","4","459"
"","274","2","137","true","262","202","0","2","587"
"","9817933","2897","3389","true","6996513","3692238","34","2","246444"
"","222809","97","2297","true","13060","114716","5","1","2756"
"","7025353","2099","3347","true","5837954","6402585","33","42","440708"
"","4796251","1433","3347","true","834640","864763","32","41","59889"
"","76319","167","457","true","2550","6224","8","5","1274"
"","26147","11","2377","true","4998","10168","6","2","466"
"","3139501","1283","2447","true","965971","280849","5","15","6505"
"","3309","1103","3","true","1910","1583","2","1","217"
"","3139159","1609","1951","true","786277","503382","2","41","1386"
"","46721","19","2459","true","36644","21197","4","1","1016"
"","3383873","2609","1297","true","2329366","3120536","9","8","14099"
"","5923487","2333","2539","true","2012383","4333029","54","8","389941"
"","749591","419","1789","true","52571","257881","15","14","1091"
"","16483","311","53","true","1392","12628","17","2","741"
"","1681489","2239","751","true","1072279","1000934","1","4","360"
"","8622617","3221","2677","true","8326195","6106962","16","28","4384"
"","7132457","3347","2131","true","2483766","3845995","0","18","46"
"","1689991","1303","1297","true","1198827","79550","31","32","24410"
"","1417621","1297","1093","true","724046","288254","18","8","10078"
"","2038489","1291","1579","true","21030","1082118","10","29","20114"
"","166121","587","283","true","124905","89685","8","14","961"
"","107803","67","1609","true","25182","92249","42","3","2832"
"","3585007","1013","3539","true","1015923","3219198","17","4","56061"
"","1003759","1319","761","true","758660","900967","5","23","2506"
"","142277","73","1949","true","41393","117404","0","81","165"
"","117823","1997","59","true","93590","7627","1","3","312"
"","2030767","1259","1613","true","1183891","891938","5","58","72474"
"","1431109","1861","769","true","1064919","1394051","28","22","24099"
"","3145003","2663","1181","true","2114442","696061","0","33","68"
"","4979041","1399","3559","true","1042285","3830492","15","41","211313"
"","268577","491","547","true","162084","183964","49","7","3431"
"","3943909","1787","2207","true","2802414","1436281","4","55","21036"
"","1706933","1483","1151","true","1340594","69663","5","1","20225"
"","2969563","3457","859","true","2664879","830914","6","1","1685"
"","4923781","2861","1721","true","4010253","4294218","11","22","90723"
"","1665773","1759","947","true","1153306","514081","18","36","22827"
"","919573","709","1297","true","696124","319994","16","1","4188"
"","963857","1499","643","true","792190","802683","8","52","3217"
"","1749379","937","1867","true","375055","1653950","1","86","672"
"","2645623","1559","1697","true","676446","985300","5","29","5791"
"","3329239","2819","1181","true","2570610","1172306","20","14","21059"
"","5304707","3301","1607","true","2888292","534679","58","22","18197"
"","949661","569","1669","true","530239","241502","16","89","880269"
"","303883","1327","229","true","155262","274342","4","28","1483"
"","156911","173","907","true","124602","116298","16","4","1355"
"","9415277","2803","3359","true","269006","8498556","15","18","47292"
"","4346681","2251","1931","true","1933040","3703767","13","10","8038"
"","4502629","2011","2239","true","4148910","223438","40","9","9509"
"","2663263","3023","881","true","2062640","1380746","1","41","608"
"","1495579","1733","863","true","1341203","1363641","4","13","1763"
"","1785887","1487","1201","true","1514480","1630977","1","32","187"
"","698177","2897","241","true","404624","169408","4","1","1291"
"","11715773","3389","3457","true","9227162","5631882","10","28","11154"
"","3963769","1217","3257","true","3163100","623221","45","51","311311"
"","2599459","2143","1213","true","1233057","1119478","16","5","2761"
"","5553869","1601","3469","true","1627395","5391346","11","7","82273"
"","867379","2789","311","true","599227","448392","1","10","1215"
"","5128199","2143","2393","true","2222138","3191303","26","52","306342"
"","260401","2389","109","true","49877","104377","20","1","1490"
"","1467619","1493","983","true","83419","910541","12","40","44738"
"","150251","347","433","true","130698","39437","5","6","4037"
"","4831049","2381","2029","true","3763863","1604296","0","9","35"
"","1838539","1283","1433","true","485067","1534023","5","18","1787"
"","1476583","461","3203","true","1092249","952566","0","7","73"
"","1170997","523","2239","true","834246","715525","20","1","3929"
"","5029097","1987","2531","true","4643741","2710390","10","28","12185"
"","1000631","479","2089","true","608457","361955","0","8","74"
"","8706083","3167","2749","true","6791855","4223418","6","25","29415"
"","2335513","2129","1097","true","1587936","1965304","3","52","26919"
