#### DATA PERFORMER
Timestamp: 1558618874955
Algorithm: pol3
N list: ./n_list_1-10000.txt
N list length: 5000
User: ludch
Available cores: 4
Memory available to JVM: 126877696 bytes

"","n","resP","success","x0","x","nbReboot","i","time (µs)"
"","33193","19","true","3037","5112","0","6","4909"
"","157709","17","true","90616","139299","0","6","3775"
"","168274","84137","true","122418","84138","0","809","43765"
"","206463","3","true","80153","200701","0","2","1806"
"","208214","104107","true","188292","104108","0","17351","220002"
"","222487","31","true","157113","81934","0","3","13987"
"","400909","191","true","237370","371687","0","19","157"
"","452411","1993","true","124057","147483","0","83","351"
"","653747","22543","true","556829","586119","0","34","178"
"","792739","2549","true","571536","430782","0","14","604"
"","829739","1873","true","86639","189174","1","13","422"
"","917249","71","true","592634","470305","0","7","73"
"","1017257","179","true","946909","903056","0","2","131"
"","1160591","101","true","927880","251087","0","10","7130"
"","1339081","397","true","182424","1299779","0","6","94"
"","1422511","19","true","605502","63860","0","6","989"
"","1777361","911","true","671889","410862","1","5","265"
"","1808621","107","true","1110293","1333970","0","53","318"
"","1826941","43","true","139300","336003","0","7","80"
"","1922861","23167","true","58540","1598524","0","13","166"
"","1942903","419","true","1409613","1616922","0","19","118"
"","2115163","139","true","973671","430067","0","23","139"
"","2216881","617","true","272475","723125","0","11","325"
"","2469683","1291","true","2151661","60678","0","5","38"
"","2469991","47","true","452052","11375","0","23","101"
"","2686351","1697","true","1822061","3395","0","8","43"
"","2758883","619","true","646851","1827289","0","103","342"
"","2784641","3319","true","2356342","1722562","0","79","263"
"","2858351","5077","true","2189119","583856","0","47","233"
"","2898839","37","true","29977","2785583","0","6","47"
"","3017869","43","true","1559879","1945235","0","7","135"
"","3484009","59","true","3383358","2850232","0","29","100"
"","3510931","131","true","3142493","878749","0","13","63"
"","3653879","41","true","612918","1940613","0","4","91"
"","3716509","277","true","270301","2452005","0","23","227"
"","3829193","43","true","569069","149082","0","3","49"
"","3888757","193","true","2614267","2142494","0","8","61"
"","4014541","4051","true","2387528","3743125","0","10","58"
"","4045801","2699","true","2541461","2968901","0","71","240"
"","4079497","61","true","3332383","2119324","0","3","41"
"","4123501","269","true","3372470","1496717","0","67","545"
"","4355627","1621","true","1495194","3593758","0","9","52"
"","4615459","1153","true","1679048","3842950","0","8","46"
"","4651961","15877","true","4022300","4255037","0","14","98"
"","4708343","6091","true","476310","1754209","0","29","95"
"","4848149","73","true","1284664","3408152","0","4","419"
"","4861981","89","true","2696537","2904338","0","11","55"
"","5105447","59","true","3948941","512239","0","29","113"
"","5115109","2521","true","1568965","3368057","0","7","36"
"","5342507","103","true","3298900","4870871","0","17","74"
"","5483677","331","true","2888578","2314022","0","11","51"
"","5506069","1123","true","2913562","2384130","0","11","46"
"","5559461","73","true","3800571","15039","0","6","41"
"","5623921","233","true","3408932","3774368","0","29","106"
"","5963273","683","true","5221505","3917006","0","31","100"
"","6116959","313","true","769910","5073731","0","13","80"
"","6510767","179","true","77514","5768813","0","89","305"
"","6519727","151","true","272600","2489085","0","10","50"
"","6675467","3457","true","5993402","6232972","0","8","112"
"","6864337","277","true","406014","6027798","0","23","12463"
"","6898649","163","true","673875","5858221","0","9","48"
"","7099879","227","true","6642416","4241950","0","113","406"
"","7181561","1567","true","6020264","6346351","0","29","303"
"","7890133","367","true","2718228","1412217","0","61","320"
"","7892273","821","true","6658888","6223181","0","41","204"
"","7966139","137","true","7612472","4495656","0","17","104"
"","7972543","149","true","5395925","1660904","0","37","200"
"","8191993","281","true","4059217","3021875","0","7","57"
"","8249671","241","true","6798899","2634613","0","5","41"
"","8502031","131","true","5160815","2743272","0","5","39"
"","8505589","281","true","5484977","1623057","0","7","46"
"","9170849","12343","true","8134439","1616934","0","22","130"
"","9203093","727","true","8407769","68339","0","22","116"
"","9342427","443","true","2221749","3823534","0","13","94"
"","9394433","2341","true","2543544","7507588","0","13","197"
"","9744047","1013","true","4699472","3322641","0","23","189"
"","9915253","251","true","1278371","2428175","0","15","96"
"","10128799","547","true","1390910","4574015","0","13","121"
"","10182649","211","true","7577810","9342448","0","7","577"
"","10471061","1933","true","1969420","2934295","0","23","145"
"","10606499","821","true","3163739","4649324","0","41","267"
"","10612883","3217","true","6325046","3789627","0","67","379"
"","10722847","1171","true","1941619","7838675","0","13","91"
"","10773599","12841","true","7521854","9669274","0","107","941"
"","11069689","2377","true","5537883","8642773","0","11","142"
"","11190161","2969","true","10224396","1104469","0","53","332"
"","11339597","109","true","1007850","11090751","0","9","88"
"","11341459","151","true","11218713","8838937","0","10","1457"
"","12019157","167","true","7746043","2775541","0","83","578"
"","12188203","6007","true","4534676","4270978","0","13","5760"
"","12359309","839","true","10532107","2819880","0","419","3113"
"","12626927","9661","true","8044312","6830328","0","23","317"
"","12643181","307","true","11585275","6096407","0","17","130"
"","13541713","2459","true","8923496","6368811","0","1229","7316"
"","14221729","179","true","10635089","4230666","0","89","596"
"","14266471","229","true","182306","1276905","0","19","102"
"","14271053","467","true","2171012","5607270","0","233","1412"
"","14328893","349","true","10479921","5005010","0","29","200"
"","14871977","3673","true","7479491","10559876","0","6","95"
"","15173309","709","true","3029472","5269289","0","59","280"
"","15262717","2377","true","12865470","13739061","0","11","172"
"","16008227","5503","true","4716201","7726213","0","131","1163"
"","16227961","179","true","6924376","3819324","0","89","865"
"","16832069","691","true","15689074","8807487","0","23","159"
"","16857989","433","true","2459943","382340","0","6","68"
"","16944401","2161","true","348566","14232347","0","9","526"
"","17578621","211","true","7102252","15974811","0","7","68"
"","17627149","233","true","7383758","10933293","0","4","65"
"","18198113","431","true","7790375","12232212","0","43","208"
"","18232547","197","true","7973988","4176992","0","7","51"
"","18720517","269","true","15243240","5893522","0","67","363"
"","18912253","5857","true","18213120","10542601","0","61","302"
"","18992221","3049","true","5916216","9113462","0","127","654"
"","19000939","281","true","4816168","6116809","0","7","44"
"","19062749","397","true","8190386","16362753","0","11","66"
"","19164289","523","true","11957545","17508995","0","29","171"
"","19375981","1033","true","7999451","9709168","0","43","240"
"","20180789","199","true","8076288","15495733","0","11","88"
"","20210347","1429","true","7224922","3388160","0","17","120"
"","20462623","1367","true","16186462","7928601","0","683","3555"
"","20667001","76829","true","15943361","3149990","0","19207","62707"
"","21512269","21577","true","8894622","15535441","0","31","160"
"","21702943","419","true","14719481","17649957","0","19","285"
"","21925483","293","true","14211174","10242695","0","73","271"
"","22169011","6229","true","5532624","11100079","0","173","444"
"","22175669","379","true","7296507","900884","0","2","166"
"","22199423","14929","true","21859686","7449572","0","311","801"
"","22229089","4019","true","8271983","19359524","0","41","184"
"","22537429","479","true","9854345","17347944","0","239","596"
"","22559083","58901","true","10625817","15314261","0","31","483"
"","22599601","239","true","14202643","62141","0","17","84"
"","22641209","1447","true","11936939","13257415","0","241","845"
"","23007503","87481","true","16525784","3061836","0","15","64"
"","23375941","13567","true","4144234","19075203","0","19","111"
"","23382637","911","true","20207196","19006194","0","13","67"
"","23798041","8837","true","10621117","3658519","0","94","259"
"","23845697","1009","true","12636414","9210153","0","7","72"
"","23982979","1553","true","12480259","20103586","0","97","357"
"","24209657","257","true","19676922","12104701","0","8","77"
"","24339233","727","true","8184526","2635376","0","22","117"
"","24565369","3529","true","15662515","1997415","0","14","57"
"","24759461","63649","true","8380553","5410166","0","17","276"
"","24926833","5861","true","14394887","7836158","0","293","873"
"","25015807","2113","true","5144987","8439323","0","11","163"
"","25366651","577","true","18292142","5621135","0","8","126"
"","25414171","17137","true","9592997","18319454","0","17","202"
