#### DATA MINER
Timestamp: 1557854309332
Algorithm: pol3
Iterations limit: 10000
User: ludch
Available cores: 4
Memory available to JVM: 126877696 bytes

""",n","p","q","success","bInit","b","i","time (µs)"
"","598415289053","710561","842173","true","3","231330239161","4441","79990"
"","98741172293","1149637","85889","true","3","36064705212","61","983"
"","573169723211","707873","809707","true","3","398104943709","2011","18655"
"","65249447023","474911","137393","true","3","42613538095","277","1650"
"","415499703329","1149221","361549","true","3","68678040296","83","490"
"","455551953151","851017","535303","true","3","108773569601","431","2467"
"","402558802423","623717","645419","true","3","33729991644","739","8365"
"","162901297513","142757","1141109","true","3","26510244289","173","874"
"","652552774607","637937","1022911","true","3","634309690219","3067","29304"
"","1241548222333","1162099","1068367","true","3","775008471497","401","2485"
"","281267732233","478787","587459","true","3","48861649712","3109","40883"
"","228715019149","264349","865201","true","3","113341332","103","790"
"","1249393513","801407","1559","true","3","484532524","41","555"
"","66619927417","114493","581869","true","3","3403533412","47","449"
"","296452564717","296771","998927","true","3","197832000166","503","2061"
"","46034264923","710219","64817","true","3","44326985144","4051","15725"
"","554231503069","731909","757241","true","3","254969859870","1721","7184"
"","386747228701","454453","851017","true","3","69933172993","601","3305"
"","673816733347","743339","906473","true","3","580332172858","16187","105833"
"","54328408249","182059","298411","true","3","33528863139","29","165"
"","135295874339","453637","298247","true","3","18837280521","11471","41285"
"","44884362191","95483","470077","true","3","3172549674","911","3143"
"","89304866459","1202063","74293","true","3","33754801672","151","698"
"","13647209687","34267","398261","true","3","12257408702","5711","20036"
"","130678307579","338183","386413","true","3","127771708994","2477","10705"
"","84852789079","885091","95869","true","3","32974065206","181","3193"
"","97426691437","81707","1192391","true","3","91558935327","59","243"
"","249279857467","919421","271127","true","3","64191757394","4373","16698"
"","15086630549","94351","159899","true","3","6564376475","37","444"
"","871758418669","961657","906517","true","3","610971608110","149","538"
"","21604571411","31489","686099","true","3","2829349629","41","213"
"","686884995233","822803","834811","true","3","261097607582","577","1835"
"","826868852963","970279","852197","true","3","688642906624","89","342"
"","660847924067","636533","1038199","true","3","178119649635","1301","6311"
"","316280241503","363257","870679","true","3","264491780785","2671","21040"
"","48748827541","1182277","41233","true","3","11814494062","89","596"
"","1188447940073","1041779","1140787","true","3","34515651473","63377","299976"
"","183772592669","1102951","166619","true","3","17232506425","43","158"
"","23424930797","50129","467293","true","3","19013378282","241","779"
"","374286100003","304489","1229227","true","3","88434871694","4229","15033"
"","240647099101","649469","370529","true","3","35526603770","9551","38522"
"","215435590397","430433","500509","true","3","103294450475","13451","99447"
"","104029701551","390433","266447","true","3","15061343409","83","721"
"","389202156797","414571","938807","true","3","271686990573","307","2197"
"","724600738451","943799","767749","true","3","134672387589","467","3519"
"","900623694371","960941","937231","true","3","415193777871","2089","15743"
"","403115151001","457099","881899","true","3","305391955792","71","413"
"","199425589061","581353","343037","true","3","14114257366","449","1806"
"","1340515387","39869","33623","true","3","1067293131","9967","27483"
"","30924916369","134129","230561","true","3","21802937209","101","342"
"","997553192201","929609","1073089","true","3","857334798750","23","166"
"","34685042569","495791","69959","true","3","26253304054","263","1079"
"","64018665631","453451","141181","true","3","43299930339","181","568"
"","457864442407","639371","716117","true","3","209768673907","3761","13312"
"","447573014123","569419","786017","true","3","28765864150","29","134"
"","49732143641","41681","1193161","true","3","1986613066","163","490"
"","148558505539","724453","205063","true","3","128365746867","239","737"
"","1333713152701","1186813","1123777","true","3","1042255616162","37","175"
"","58677339233","70459","832787","true","3","58426434735","11743","38095"
"","537228174943","1183163","454061","true","3","529164051584","311","1074"
"","31236104593","291167","107279","true","3","14874266196","739","1950"
"","582078028667","838141","694487","true","3","371195886081","229","784"
"","4003398277","758363","5279","true","3","1651814938","29","258"
"","382787699383","1211503","315961","true","3","26300593641","2633","9595"
"","1230885321551","1220171","1008781","true","3","635558258307","43","143"
"","581761512337","1042193","558209","true","3","476805381531","89","307"
"","103614257869","221549","467681","true","3","49106505001","79","226"
"","1248325734001","972899","1283099","true","3","640732796320","486449","2015652"
"","269520678353","911063","295831","true","3","202519394319","173","668"
"","21769789609","26003","837203","true","3","15028225827","13001","39810"
"","135862027517","1266767","107251","true","3","112836310328","15","106"
"","810209878193","892057","908249","true","3","291613433301","109","335"
"","640072167373","527347","1213759","true","3","336727090576","19","130"
"","89810806037","1238821","72497","true","3","40119767304","197","828"
"","19376135633","82613","234541","true","3","14018021680","1087","2990"
"","61479702307","117989","521063","true","3","60618736575","2269","6509"
"","13922549453","373489","37277","true","3","4344424049","251","631"
"","83831385809","274739","305131","true","3","14756135161","1453","4442"
"","471623731151","371257","1270343","true","3","261409478841","499","1590"
"","435929312927","723617","602431","true","3","113290161706","467","1678"
"","985889392903","920701","1070803","true","3","455032531025","31","112"
"","817173345613","688339","1187167","true","3","362430445332","607","1853"
"","531259204913","641519","828127","true","3","65535486400","3539","11057"
"","98822870359","651853","151603","true","3","46333711241","953","2748"
