"",n","p","q","success","bInit","b","i","time (µs)"
"","231337215001","937009","246889","true","3","211815454883","127","14414"
"","401032218137","535991","748207","true","3","248335350121","31","1386"
"","995282645659","964097","1032347","true","3","880335288544","269","16202"
"","962967938599","974657","988007","true","3","244186666153","157","2343"
"","495558454591","805811","614981","true","3","196113136034","317","3792"
"","98890145357","614297","160981","true","3","3049984606","2477","26078"
"","1033638033059","1118219","924361","true","3","740708265601","3089","21219"
"","985993140809","1028837","958357","true","3","888641497359","211","979"
"","670225908281","801419","836299","true","3","384140564867","911","5529"
"","162061986851","349331","463921","true","3","96408718712","193","1456"
"","1669089857","14869","112253","true","3","592529651","59","414"
"","5044002539","84127","59957","true","3","698019395","1153","15704"
"","73121801309","1021297","71597","true","3","60355268643","2557","14712"
"","457209673351","558197","819083","true","3","222134490518","1201","10825"
"","148562616277","256603","578959","true","3","57946089461","42767","256623"
"","373148528063","317587","1174949","true","3","362067917634","1291","5223"
"","122622570247","342371","358157","true","3","6664251516","73","425"
"","1204844293307","953039","1264213","true","3","979481891289","35117","142362"
"","42227420761","39511","1068751","true","3","10504753580","25","447"
"","1402707161","14009","100129","true","3","1089718084","103","664"
"","260655175061","402797","647113","true","3","171393054955","457","3100"
"","322858755521","1297523","248827","true","3","173109441555","367","1520"
"","669169294757","1129699","592343","true","3","464206769898","163","724"
"","250378850233","298211","839603","true","3","216147805966","2711","18764"
"","583427390243","1052269","554447","true","3","26520335608","12527","63393"
"","142910965333","476381","299993","true","3","31568863377","487","1766"
"","269041648357","336247","800131","true","3","171796927142","179","646"
"","83256133313","82759","1006007","true","3","40748793662","1061","4210"
"","169307519897","159799","1059503","true","3","151605306276","26633","108524"
"","615340448537","484361","1270417","true","3","240451825591","199","843"
"","969639858589","1135411","853999","true","3","794357417839","449","2022"
"","243357606343","292841","831023","true","3","193159662029","1151","3859"
"","64270686367","237977","270071","true","3","37350490151","197","734"
"","152709324539","742681","205619","true","3","62360541559","773","3219"
"","228457237499","1113703","205133","true","3","1910000646","443","1810"
"","75997299857","79397","957181","true","3","72482531226","53","254"
"","614866719241","708061","868381","true","3","497126412976","353","1435"
"","197318028217","209669","941093","true","3","44691576358","53","295"
"","65975556349","517289","127541","true","3","38392009198","911","3089"
"","298451139359","318917","935827","true","3","74593410633","6133","23425"
"","70958342303","177533","399691","true","3","48078031009","4441","16244"
"","41001741343","65921","621983","true","3","35425549875","103","458"
"","531059969021","518473","1024277","true","3","362777113520","379","1276"
"","1424704310123","1290983","1103581","true","3","64578842610","101","438"
"","25919521769","158633","163393","true","3","21013973731","37","152"
"","764306255561","700229","1091509","true","3","550206337209","5647","22742"
"","103751441351","158129","656119","true","3","71942844228","9883","36142"
"","166173992437","204913","810949","true","3","61724508600","1423","5697"
"","641219472739","993001","645739","true","3","322819660096","331","1074"
"","456103307981","409609","1113509","true","3","168561886072","5689","21142"
"","62085197","8039","7723","true","3","45836006","13","67"
"","245066357453","1152337","212669","true","3","74480724512","673","2048"
"","52076859349","417721","124669","true","3","37736497420","118","401"
"","34380799163","49019","701377","true","3","2498304875","281","790"
"","886476369469","742069","1194601","true","3","474257791602","181","615"
"","151168100729","322079","469351","true","3","101490582837","149","472"
"","290554380001","702523","413587","true","3","10817367986","37","166"
"","642555143149","825553","778333","true","3","463610751529","14","91"
"","147035816953","353939","415427","true","3","56196887426","821","2590"
"","449690232293","381527","1178659","true","3","293772505138","73","284"
"","585908904617","1253627","467371","true","3","198191476777","577","2585"
"","523346532013","860381","608273","true","3","488418279808","5431","20629"
"","577872248071","567059","1019069","true","3","89949733876","1009","3981"
"","736632735053","784387","939119","true","3","388766153312","941","3109"
"","195451262429","264889","737861","true","3","25517816927","283","1541"
"","1018819683719","792907","1284917","true","3","786164902198","2311","8489"
"","120679065643","1130981","106703","true","3","36247941051","293","830"
"","620571662101","892643","695207","true","3","391992569092","1949","7481"
"","461651503151","570083","809797","true","3","414140713162","179","542"
"","323537217109","469723","688783","true","3","183302354906","647","1972"
"","675549603059","1205669","560311","true","3","503162079556","983","3582"
"","408366954397","842249","484853","true","3","2840905878","563","1706"
"","1271802954151","1047197","1214483","true","3","55544380006","2161","10537"
"","622915258591","508973","1223867","true","3","467861100628","107","491"
"","413279135389","1090783","378883","true","3","262589788630","97","400"
"","73855944037","297757","248041","true","3","9580087544","53","190"
"","7485174479","6397","1170107","true","3","7451814125","41","160"
"","1572065648513","1262011","1245683","true","3","1302561937453","59","233"
"","1140792068527","942787","1210021","true","3","332304437168","67","249"
"","290294265593","684419","424147","true","3","280413992910","83","245"
"","339560631373","819409","414397","true","3","33163121049","397","1254"
"","455635388573","851491","535103","true","3","264525045552","9461","34829"
"","536183888833","566947","945739","true","3","440169146596","10499","39812"
"","148080066377","1145129","129313","true","3","136990183498","449","2052"
"","697454279573","552527","1262299","true","3","507759604880","269","973"
"","229042543627","238723","959449","true","3","201231552851","3617","11934"
"","720865256291","571789","1260719","true","3","568879277247","1063","3234"
"","1009202226727","935839","1078393","true","3","827258994947","131","742"
"","641509348439","749899","855461","true","3","64859514410","1543","5446"
"","542926890433","1198321","453073","true","3","466375748312","4993","20322"
"","4599467231","176923","25997","true","3","2826237859","97","229"
"","145319929207","785093","185099","true","3","108522620298","2549","8442"
"","507713438801","1297501","391301","true","3","382461510411","43","4402"
"","354644019803","773999","458197","true","3","66266698385","9439","35358"
"","450777090623","556891","809453","true","3","195782827525","977","3601"
"","263117119753","419383","627391","true","3","223282025499","1013","3049"
"","1831273051","165173","11087","true","3","1341105695","241","508"
"","1196421704267","1051889","1137403","true","3","457736463321","59","300"
"","709931745119","662693","1071283","true","3","550073824577","2927","12015"
"","34800195319","32359","1075441","true","3","11387844750","4481","16438"
"","39908521589","1053301","37889","true","3","39290059443","37","209"
"","372782838479","373187","998917","true","3","59359870595","16963","63153"
"","85105163833","1269601","67033","true","3","80100278955","19","68"
"","292123263067","1020101","286367","true","3","48877119315","202","904"
"","245255797051","1018813","240727","true","3","170370201165","757","2277"
"","410899631861","954433","430517","true","3","385745550147","1657","5245"
"","337177421569","1011509","333341","true","3","315992934338","2381","9346"
"","3616331357","132763","27239","true","3","2366367713","109","659"
"","33507173573","414893","80761","true","3","28286378729","673","2339"
"","422973147797","645941","654817","true","3","316990361531","359","1184"
"","43668676351","51593","846407","true","3","31212950940","487","1376"
"","18587563177","125423","148199","true","3","12091529739","5701","18462"
"","69445362257","308999","224743","true","3","553726209","3593","12053"
"","455288378267","423649","1074683","true","3","413783485738","1471","5099"
"","24024529187","89963","267049","true","3","5961578122","1451","4836"
"","113261102417","342283","330899","true","3","42655992027","57047","213152"
"","566537779139","663161","854299","true","3","176213151438","281","921"
"","138771585793","225067","616579","true","3","98151493634","37511","151986"
"","468868472257","589181","795797","true","3","346704083194","283","1121"
"","68560469357","746659","91823","true","3","41530666899","419","1160"
"","14058568969","25367","554207","true","3","8197275738","569","1570"
"","43787391233","487507","89819","true","3","28614223366","2621","7616"
"","480784608709","412463","1165643","true","3","280089599559","761","3455"
"","1180273706107","956633","1233779","true","3","1063008676335","607","1961"
"","124467206933","966653","128761","true","3","62076193145","37","138"
"","250818928757","344167","728771","true","3","66192083618","359","1024"
"","767820534353","703673","1091161","true","3","172219031792","433","1294"
"","144079332359","178333","807923","true","3","70427455834","157","513"
"","227742385687","808351","281737","true","3","24387436458","43","190"
"","23840366171","693659","34369","true","3","1912634851","179","448"
"","10870159691","24107","450913","true","3","5228787149","61","320"
"","1179787936367","1245281","947407","true","3","468423655680","181","633"
"","582419253797","943157","617521","true","3","385857379330","83","329"
"","187984297121","158243","1187947","true","3","136563709001","127","376"
"","290727263","10607","27409","true","3","176486552","571","1663"
"","643273788991","1252073","513767","true","3","416631642146","33","111"
"","31455979979","527599","59621","true","3","28044883707","271","790"
"","797859147439","633001","1260439","true","3","80657620422","211","835"
"","167377878089","333209","502321","true","3","133767579980","23","99"
"","166686840011","689441","241771","true","3","48722795471","139","427"
"","90639501179","69899","1296721","true","3","73281593874","1801","5354"
"","113102996927","595351","189977","true","3","58268788424","14","64"
"","309485453383","648391","477313","true","3","110991978456","113","321"
"","957998236997","1019339","939823","true","3","11508337311","7607","29419"
"","1229438894989","1223029","1005241","true","3","698800856702","641","2154"
"","132382603","13229","10007","true","3","113557737","3307","9266"
"","23303273813","147151","158363","true","3","8284601301","109","413"
"","280867521089","366607","766127","true","3","204986471016","73","212"
"","47765020153","946573","50461","true","3","18164143405","58","298"
"","308698627931","753679","409589","true","3","173591115676","821","3282"
"","446690808451","769309","580639","true","3","82584865610","71","209"
"","992790921791","888061","1117931","true","3","637135812207","41","192"
"","107132702723","934343","114661","true","3","28623972041","14","57"
"","133386536333","294947","452239","true","3","119093109767","1657","5832"
"","221427527","3049","72623","true","3","29124049","127","331"
"","638676318437","704461","906617","true","3","221932688980","199","1335"
"","39012849763","418813","93151","true","3","2864486402","23","147"
"","86475414569","108917","793957","true","3","24588230585","373","1039"
"","38971010513","67927","573719","true","3","12742154223","11321","38355"
"","259061054249","434807","595807","true","3","152666010839","499","1533"
"","4194495293","5641","743573","true","3","4093261908","47","163"
"","213620579567","174347","1225261","true","3","104997168158","487","1469"
"","369107011909","295861","1247569","true","3","34348069709","79","230"
"","1130404249577","871289","1297393","true","3","1094048702932","179","599"
"","51358232119","269183","190793","true","3","27200785632","3407","11255"
"","1061589103343","1041281","1019503","true","3","88539757539","271","1150"
"","741487270283","771509","961087","true","3","594044991440","467","1609"
"","921813070291","949523","970817","true","3","612457379157","197","791"
"","46097217059","615557","74887","true","3","8968092686","1783","6552"
"","18575649341","25679","723379","true","3","1039177773","347","922"
"","10509107437","166081","63277","true","3","6940026748","173","561"
"","21415046617","22469","953093","true","3","11415690017","137","388"
"","46097554703","330233","139591","true","3","31502478108","47","171"
"","282328372397","389903","724099","true","3","129347976668","229","655"
"","478185399583","385223","1241321","true","3","291388932862","31033","122135"
"","463209354119","603641","767359","true","3","383977235293","479","2175"
"","252312891041","309359","815599","true","3","218978530715","1163","5076"
"","88180974523","90697","972259","true","3","50483576317","3307","12141"
"","170444684009","937751","181759","true","3","2756050190","31","161"
