"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","100697","997","101","true","7167","87361","12","9","53076"
"","897041","1571","571","true","268553","177435","5","60","29246"
"","869549","1669","521","true","241934","179935","7","55","1228611"
"","4613923","1303","3541","true","2048412","2481008","15","1","2789"
"","53311","599","89","true","32128","29458","2","14","2057"
"","187529","277","677","true","128344","38596","3","25","3594"
"","2231401","1987","1123","true","159063","2010947","1","28","322"
"","7875173","2243","3511","true","5430176","318379","22","25","9928"
"","662173","1327","499","true","421383","23680","1","3","138"
"","220111","2137","103","true","60337","92679","0","14","103"
"","3090739","2767","1117","true","280160","2250548","63","12","98493"
"","447289","433","1033","true","320293","8100","7","30","1400"
"","928877","2531","367","true","573222","656745","18","22","8559"
"","11837563","3343","3541","true","4515039","205912","89","2","133808"
"","821791","233","3527","true","805929","611944","7","58","7437"
"","4973261","1753","2837","true","3807488","3549797","22","3","15605"
"","2074337","3463","599","true","158944","1035880","2","27","3269"
"","1112927","1103","1009","true","641016","8373","5","49","1271"
"","449041","191","2351","true","409634","391107","5","15","856"
"","279673","1877","149","true","2120","65296","7","2","3270"
"","1779707","757","2351","true","677816","1773952","7","26","11937"
"","541379","1913","283","true","100353","452345","0","18","69"
"","492743","149","3307","true","175226","348662","1","14","409"
"","3378247","1237","2731","true","1469408","1882566","134","9","23523"
"","1296881","487","2663","true","1206213","840963","17","4","16002"
"","180121","281","641","true","174775","64904","123","4","12290"
"","6833627","2311","2957","true","4232224","3924696","10","87","272070"
"","3697453","1801","2053","true","1389674","3158256","3","4","4252"
"","7933493","2399","3307","true","3335627","3752309","4","46","53180"
"","949181","937","1013","true","418865","297992","3","18","1408"
"","6278081","3079","2039","true","3882684","5360959","103","19","65338"
"","1083739","1087","997","true","837078","57424","17","22","3778"
"","362209","1289","281","true","257669","231817","43","4","14367"
"","6922337","2341","2957","true","5102670","5507779","0","87","154"
"","40991","179","229","true","15210","4112","1","21","97"
"","6718549","2161","3109","true","5047066","3115132","7","50","238177"
"","2473061","859","2879","true","1015521","2230459","23","47","11891"
"","3914137","2027","1931","true","1848363","2093600","5","54","63889"
"","12552833","3539","3547","true","7566221","3131854","1","35","6405"
"","1534867","1571","977","true","251425","1121759","1","9","198"
"","1682467","797","2111","true","489842","1503122","7","25","6966"
"","1699241","743","2287","true","712748","1057500","4","15","18769"
"","1318","2","659","true","802","442","0","2","573"
"","1645577","607","2711","true","1634962","1128005","29","9","13921"
"","335371","151","2221","true","25827","101341","3","101","2280"
"","6770849","2447","2767","true","5363048","2573912","5","16","54096"
"","917347","797","1151","true","374698","218486","8","3","10267"
"","710453","829","857","true","601206","582968","8","35","1702"
"","783859","463","1693","true","719921","305536","2","11","232"
"","3905267","3011","1297","true","530839","1598270","17","1","3584"
"","4747621","1979","2399","true","303036","2733223","2","43","44398"
"","293039","181","1619","true","46839","53315","3","50","2474"
"","1637557","2531","647","true","1247710","213157","5","45","18941"
"","503281","1087","463","true","109269","61441","16","16","2115"
"","5302291","1621","3271","true","5154965","2673214","82","1","26885"
"","1036927","3539","293","true","1012992","227166","0","11","102"
"","191207","367","521","true","178279","18267","12","1","3728"
"","906067","277","3271","true","147704","621928","5","25","942"
"","2327791","1109","2099","true","1777544","1282930","2","17","5950"
"","7791809","3407","2287","true","7588292","6897618","21","62","547875"
"","77117","1151","67","true","47826","68864","1","2","102"
"","502357","691","727","true","83174","458387","33","1","21276"
"","893623","2819","317","true","623606","160786","0","7","61"
"","4909313","2141","2293","true","3457236","2534465","54","44","7912"
"","4244843","1627","2609","true","303296","750721","14","31","112126"
"","534461","2713","197","true","69409","224251","5","4","4312"
"","7323559","2311","3169","true","3373698","1927012","30","28","9899"
"","4160419","3331","1249","true","3050933","1435398","9","31","9325"
"","1854253","557","3329","true","1694822","1421844","22","81","16534"
"","3100033","3001","1033","true","2009853","602907","32","4","4341"
"","4045343","3119","1297","true","225304","3041761","23","84","117378"
"","5888683","1663","3541","true","4753605","5729786","25","27","9034"
"","3352231","3067","1093","true","819427","464202","4","25","4304"
"","5714477","2707","2111","true","2927376","1476424","7","40","5343"
"","3270329","2087","1567","true","2998703","2061637","15","1","10678"
"","443477","277","1601","true","349011","132876","29","22","245389"
"","4522759","2053","2203","true","700840","555442","0","1","26"
"","961859","1667","577","true","286906","215935","12","14","11152"
"","5208677","3517","1481","true","4156825","3924703","3","57","2749"
"","2225677","2579","863","true","977163","1712439","3","9","761"
"","3184417","1571","2027","true","1981058","1822387","6","60","29970"
"","20081","467","43","true","9846","15917","6","19","384"
"","6309403","3461","1823","true","5928636","301050","38","51","303106"
"","3421601","2503","1367","true","3043404","2730529","25","45","31241"
"","828251","269","3079","true","124635","818924","2","15","1338"
"","4004963","2311","1733","true","1465221","670237","2","30","1400"
"","7014229","2287","3067","true","6867231","5611668","11","62","26548"
"","1921019","1151","1669","true","1485967","658143","14","89","564044"
"","6004709","3449","1741","true","1128321","1200750","61","47","19227"
"","716113","883","811","true","128826","153967","5","14","7154"
"","861193","277","3109","true","272027","329089","4","25","23657"
"","371743","883","421","true","305200","211317","14","10","4048"
