#### DATA MINER
Timestamp: 1558426773654
Algorithm: pol1
Max index for prime numbers picking: 2000
Iterations limit: 10000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","53481367","13367","4001","true","34631544","34444406","21","220","124562"
"","9856373","683","14431","true","8716509","6430508","6","26","6743"
"","5480039","9631","569","true","888910","1973424","1","29","62766"
"","68420389","15269","4481","true","283534","36279407","82","86","16055862"
"","25707223","1901","13523","true","876193","17513745","15","126","39599"
"","8625523","613","14071","true","7947376","2966242","47","121","29682"
"","75585241","5953","12697","true","70621690","6019354","2","106","172397"
"","704677","6977","101","true","537436","615408","11","9","17687"
"","16253953","4567","3559","true","13787892","8983408","6","31","49701"
"","80388067","8999","8933","true","22921760","31254834","23","3","2700059"
"","162099361","16831","9631","true","70791836","99819670","5","86","394415"
"","50833787","2957","17191","true","38675289","43045735","86","87","31965209"
"","2955341","683","4327","true","715553","2440128","5","26","105609"
"","2420501","10663","227","true","1399920","43141","4","23","1577"
"","107872571","6833","15787","true","78480344","103782943","24","21","470650"
"","33254317","4871","6827","true","19453954","15275830","4","94","28157"
"","20279333","1481","13693","true","6993641","17581310","20","40","3560"
"","17649113","14431","1223","true","14759273","17501163","12","8","14486"
"","45450803","13523","3361","true","1385150","18654021","116","45","116433"
"","37751029","3923","9623","true","33570133","7193490","129","30","427072"
"","91624693","6829","13417","true","76268891","76590899","92","121","19500668"
"","151749931","15439","9829","true","132994579","95595234","99","4","17210837"
"","3562879","11383","313","true","2628163","1249398","8","1","2495"
"","110620667","9187","12041","true","5130674","10934436","159","36","18647555"
"","73557889","7079","10391","true","68286147","19219845","31","25","5984620"
"","278273","17","16369","true","16764","247369","5","6","925"
"","179352119","11717","15307","true","83179179","101422548","17","87","2201993"
"","73951457","9851","7507","true","66179835","58486204","22","116","68232"
"","42525383","6827","6229","true","31365199","13687297","22","57","1220118"
"","97897297","6781","14437","true","57381478","39479598","44","69","1564620"
"","53734403","11197","4799","true","52748370","49830578","27","73","579177"
"","13982299","2393","5843","true","1090063","6928983","17","52","9660"
"","102043913","7207","14159","true","52266881","50126402","10","48","44037"
"","2782433","653","4261","true","2362374","1880881","10","14","3103"
"","93863603","15901","5903","true","5527846","27138729","127","82","4434210"
"","11575337","2003","5779","true","10108018","5398133","2","22","489"
