#### DATA PERFORMER
Timestamp: 1558618864236
Algorithm: pol2
N list: ./n_list_1-10000.txt
N list length: 5000
User: ludch
Available cores: 4
Memory available to JVM: 126877696 bytes

"","n","resP","success","x0","x","nbReboot","i","time (µs)"
"","33193","19","true","12651","29086","0","3","7296"
"","157709","17","true","107230","60503","0","2","1816"
"","168274","2","true","147917","99609","0","2","449"
"","206463","3","true","142538","8995","0","1","5587"
"","208214","2","true","143141","106621","0","2","383"
"","222487","31","true","196621","92060","0","4","2711"
"","400909","191","true","165688","1628","0","17","4469"
"","452411","227","true","29517","412884","0","4","531"
"","653747","29","true","303395","60519","0","6","432"
"","792739","2549","true","200838","199355","0","8","334"
"","829739","443","true","371877","651449","0","21","648"
"","917249","71","true","144280","382806","0","8","232"
"","1017257","179","true","389596","571927","0","6","5857"
"","1160591","101","true","337382","851326","0","10","520"
"","1339081","397","true","475563","490018","0","6","398"
"","1422511","19","true","695297","387338","0","2","453"
"","1777361","911","true","507396","1428551","0","24","536"
"","1808621","107","true","653448","1444708","0","8","318"
"","1826941","43","true","238118","1804662","0","3","334"
"","1922861","83","true","1579033","889801","0","6","200"
"","1942903","419","true","1911326","812169","0","20","455"
"","2115163","139","true","585264","1103907","0","9","204"
"","2216881","617","true","1413941","1117885","0","21","332"
"","2469683","1913","true","5200","1014811","0","17","365"
"","2469991","47","true","83251","992499","0","9","173"
"","2686351","1583","true","711943","2113558","0","28","2947"
"","2758883","619","true","1339880","1850362","0","9","674"
"","2784641","839","true","2589919","2713583","0","19","268"
"","2858351","563","true","1737437","813075","0","22","312"
"","2898839","37","true","673755","1504957","0","9","186"
"","3017869","43","true","1463796","237597","0","2","119"
"","3484009","59","true","3311660","3348378","0","3","129"
"","3510931","131","true","3444635","736247","0","12","4252"
"","3653879","41","true","1116778","1654407","0","4","73"
"","3716509","277","true","1972730","1778223","0","16","166"
"","3829193","43","true","3073597","3098145","0","6","465"
"","3888757","193","true","2605586","721347","0","4","152"
"","4014541","991","true","691359","451933","0","26","240"
"","4045801","2699","true","3568787","4000410","0","33","641"
"","4079497","61","true","1929910","1005741","0","4","81"
"","4123501","269","true","3944729","100020","0","30","267"
"","4355627","1621","true","3253772","1416389","0","15","283"
"","4615459","1153","true","1052195","1850983","0","17","316"
"","4651961","293","true","1937308","3207794","0","9","142"
"","4708343","773","true","3361661","83951","0","38","315"
"","4848149","73","true","1696164","563803","0","9","114"
"","4861981","89","true","4362772","3633631","0","12","108"
"","5105447","59","true","4525821","4272834","0","7","105"
"","5115109","2029","true","2725631","4688704","0","24","204"
"","5342507","103","true","314494","1682393","0","6","74"
"","5483677","331","true","3895369","4577229","0","38","404"
"","5506069","1123","true","2166746","1201853","0","21","177"
"","5559461","73","true","91460","791102","0","6","85"
"","5623921","233","true","5170041","3404928","0","17","184"
"","5963273","683","true","1865552","4915540","0","40","1261"
"","6116959","313","true","1154826","2681899","0","12","169"
"","6510767","179","true","4774919","6353136","0","6","73"
"","6519727","151","true","782112","4574148","0","19","139"
"","6675467","1931","true","5425018","4063663","0","24","283"
"","6864337","277","true","3232071","6816633","0","24","179"
"","6898649","163","true","6314084","1180628","0","7","74"
"","7099879","227","true","3729235","4128513","0","14","109"
"","7181561","4583","true","6525529","1835191","0","54","337"
"","7890133","367","true","1786851","2457521","0","32","209"
"","7892273","821","true","1738638","528943","0","33","333"
"","7966139","137","true","4138966","2686002","0","16","131"
"","7972543","149","true","3126549","2085317","0","6","75"
"","8191993","281","true","1078570","1407902","0","3","44"
"","8249671","241","true","55739","1294720","0","8","72"
"","8502031","131","true","2468457","5649184","0","2","63"
"","8505589","281","true","4435504","1753078","0","1","38"
"","9170849","743","true","1059370","774734","0","48","304"
"","9203093","727","true","2010749","3524222","0","54","330"
"","9342427","443","true","5942557","2817703","0","6","59"
"","9394433","2341","true","4898111","2984578","0","40","279"
"","9744047","1013","true","5415414","7381226","0","32","210"
